species,strain,sex,organ,finding,severity,n_studies,n_animals,n_affected,mean_incidence_pct,sd_incidence_pct,min_incidence_pct,max_incidence_pct,duration_category,source,confidence,notes,year_min,year_max,severity_scale_version,terminology_version,severity_distribution,source_page,source_table,source_row_label,extraction_pass,flags
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,EXOCRINE PANCREAS,inflammatory cell infiltrations,ANY,30,570,36,6.3,,0.0,66.7,,chamanza_2010,HIGH,pass2_m=19;pass2_f=17,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / inflammatory cell infiltrations,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,EXOCRINE PANCREAS,acinar cell atrophy/duct cell hyperplasia,ANY,30,570,13,2.3,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=9;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / acinar cell atrophy/duct cell hyperplasia,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,EXOCRINE PANCREAS,acinar cell degranulation,ANY,30,570,8,1.4,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=4;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / acinar cell degranulation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,EXOCRINE PANCREAS,accessory spleen,ANY,30,570,7,1.2,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=5;pass2_f=2,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / accessory spleen,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,SUBMAXILLARY SALIVARY GLAND,inflammatory cell infiltrations,ANY,49,570,121,21.2,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=50;pass2_f=71,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Submaxillary Salivary gland / inflammatory cell infiltrations,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,SUBMAXILLARY SALIVARY GLAND,inflammation,ANY,49,570,11,1.9,,0.0,40.0,,chamanza_2010,HIGH,pass2_m=7;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Submaxillary Salivary gland / inflammation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,PAROTID SALIVARY GLAND,inflammatory cell infiltration,ANY,17,570,76,13.3,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=30;pass2_f=46,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid salivary gland / inflammatory cell infiltration,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,PAROTID SALIVARY GLAND,inflammation,ANY,17,570,32,5.6,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=14;pass2_f=18,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid salivary gland / inflammation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,PAROTID SALIVARY GLAND,mineralized duct contents,ANY,17,570,14,2.5,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=8;pass2_f=6,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid salivary gland / mineralized duct contents,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,STOMACH,gastritis,ANY,46,570,70,12.3,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=35;pass2_f=35,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / gastritis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,STOMACH,inflammatory cell infiltration,ANY,46,570,69,12.1,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=36;pass2_f=33,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / inflammatory cell infiltration,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,STOMACH,lymphoid hyperplasia,ANY,46,570,16,2.8,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=10;pass2_f=6,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / lymphoid hyperplasia,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,STOMACH,parasitic granuloma,ANY,46,570,15,2.6,,0.0,75.0,,chamanza_2010,HIGH,pass2_m=8;pass2_f=7,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / parasitic granuloma,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,STOMACH,focal muscle atrophy/degeneration,ANY,46,570,12,2.1,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=6;pass2_f=6,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / focal muscle atrophy/degeneration,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,STOMACH,gastric infarction/necrosis,ANY,46,570,3,0.5,,,,,chamanza_2010,HIGH,pass2_m=1;pass2_f=2,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / gastric infarction/necrosis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,SMALL INTESTINE,inflammatory cell infiltration,ANY,20,570,15,2.6,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=9;pass2_f=6,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small intestine / inflammatory cell infiltration,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,SMALL INTESTINE,"pigmented macrophage, lamina propria",ANY,20,570,15,2.6,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=11;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,4,Table 4,"Small intestine / pigmented macrophage, lamina propria",2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,SMALL INTESTINE,inflammation,ANY,20,570,7,1.2,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=5;pass2_f=2,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small intestine / inflammation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,SMALL INTESTINE,lacteal ectasia/edema,ANY,20,570,7,1.2,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=5;pass2_f=2,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small intestine / lacteal ectasia/edema,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,SMALL INTESTINE,diffuse goblet cell hyperplasia,ANY,20,570,7,1.2,,0.0,66.7,,chamanza_2010,HIGH,pass2_m=3;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small intestine / diffuse goblet cell hyperplasia,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,SMALL INTESTINE,diverticulum/glandular herniation,ANY,20,570,5,0.9,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=3;pass2_f=2,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small intestine / diverticulum/glandular herniation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LARGE INTESTINE,balantidium in the lumen,ANY,24,570,114,20.0,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=68;pass2_f=46,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Large intestine / balantidium in the lumen,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LARGE INTESTINE,inflammatory cell infiltrations,ANY,24,570,32,5.6,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=16;pass2_f=16,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Large intestine / inflammatory cell infiltrations,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LARGE INTESTINE,"syncytial cells, GALT",ANY,24,570,20,3.5,,0.0,75.0,,chamanza_2010,HIGH,pass2_m=9;pass2_f=11,2003,2009,unknown,inhand_pre_2024,,4,Table 4,"Large intestine / syncytial cells, GALT",2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LARGE INTESTINE,inflammation/colitis,ANY,24,570,12,2.1,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=8;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Large intestine / inflammation/colitis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LARGE INTESTINE,vasculitis/perivasculitis,ANY,24,570,11,1.9,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=5;pass2_f=6,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Large intestine / vasculitis/perivasculitis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LARGE INTESTINE,glandular microherniation,ANY,24,570,8,1.4,,0.0,33.3,,chamanza_2010,HIGH,pass2_m=4;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Large intestine / glandular microherniation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LARGE INTESTINE,parasitic granuloma/fibrosis/mineralization,ANY,24,570,5,0.9,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=2;pass2_f=3,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Large intestine / parasitic granuloma/fibrosis/mineralization,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,ESOPHAGUS,inflammatory cell infiltrations,ANY,15,570,19,3.3,,0.0,60.0,,chamanza_2010,HIGH,pass2_m=11;pass2_f=8,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Esophagus / inflammatory cell infiltrations,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,ESOPHAGUS,focal muscle atrophy/degeneration,ANY,15,570,17,3.0,,0.0,14.2,,chamanza_2010,HIGH,pass2_m=8;pass2_f=9,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Esophagus / focal muscle atrophy/degeneration,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,TONGUE,inflammation/subepithelial myositis,ANY,19,570,22,3.9,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=15;pass2_f=7,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Tongue / inflammation/subepithelial myositis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,TONGUE,inflammatory cell foci,ANY,19,570,12,2.1,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=9;pass2_f=3,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Tongue / inflammatory cell foci,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,KIDNEY,inflammatory cell infiltrations,ANY,56,570,164,28.8,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=87;pass2_f=77,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Kidney / inflammatory cell infiltrations,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,KIDNEY,interstitial nephritis,ANY,56,570,56,9.8,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=27;pass2_f=29,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Kidney / interstitial nephritis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,KIDNEY,mineral deposits/mineralization,ANY,56,570,15,2.6,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=6;pass2_f=9,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Kidney / mineral deposits/mineralization,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,KIDNEY,glomerulonephritis/sclerosis,ANY,56,570,11,1.9,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=6;pass2_f=5,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Kidney / glomerulonephritis/sclerosis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,KIDNEY,tubular degeneration/regeneration,ANY,56,570,9,1.6,,,,,chamanza_2010,HIGH,pass2_m=5;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Kidney / tubular degeneration/regeneration,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,URINARY BLADDER,inflammatory cell foci,ANY,19,570,27,4.7,,0.0,66.7,,chamanza_2010,HIGH,pass2_m=12;pass2_f=15,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Urinary bladder / inflammatory cell foci,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,URINARY BLADDER,"focal mineralization, adventitial remnants",ANY,19,570,6,1.2,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=6;pass2_f=0,2003,2009,unknown,inhand_pre_2024,,4,Table 5,"Urinary bladder / focal mineralization, adventitial remnants",2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,URINARY BLADDER,cystitis/eosinophilic cystitis,ANY,19,570,6,1.2,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=3;pass2_f=3,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Urinary bladder / cystitis/eosinophilic cystitis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,TESTIS,"hypoplasia, seminiferous tubules",ANY,5,570,4,1.4,,0.0,40.0,,chamanza_2010,HIGH,pass2_m=4;pass2_f=None,2003,2009,unknown,inhand_pre_2024,,4,Table 5,"Testis / hypoplasia, seminiferous tubules",2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,TESTIS,inflammatory cell foci,ANY,5,570,1,0.4,,,,,chamanza_2010,HIGH,pass2_m=1;pass2_f=None,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Testis / inflammatory cell foci,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,EPIDIDYMIS,inflammatory cell foci/inflammation,ANY,3,570,6,2.1,,0.0,33.3,,chamanza_2010,HIGH,pass2_m=6;pass2_f=None,2003,2009,unknown,inhand_pre_2024,,4,Table 5,Epididymis / inflammatory cell foci/inflammation,2,pass2_aggregate_reconstruction
